Naam van het bier;Brouwerij;% alcohol;Kleur van het bier
1664 Kronenbourg ;Alken-Maes;5;Blond
Aardmonnik ;De Struise Brouwers;8;Bruin
Aarschotse Bruine ;De Biertoren;4;Bruin
Abbaye d'Orval ;Brasserie d'Orval;3,5;Géén gegevens
Abbaye de Bonne-Esperance ;Lefebvre;8;Amber
Abbaye de Cambron ;Brasserie de Silly;6,5;Amber
Abbaye De Gembloux ;Lefebvre;8;Amber
Abbaye de la Moinette-Special Nouvel An ;Dupont;8,5;Amber
Abbaye des Rocs ;Eloir-Bertiau;9,25;Amber
Abdij van Leffe bruin ;St. Guibert;6,3;Bruin
Abdij van Leffe brune ;St. Guibert;6,3;Amber
Abdij van Leffe radieuse ;St. Guibert;8,6;Donkerbruin
Abdij van Leffe trippel ;St. Guibert;7,1;Blond
Abdij van Leffe vieille cuvée ;St. Guibert;7,8;Bruin
Abdij van t'Park ;Alken-Maes;6,5;Bruin
Abdijbier Affligem blonde ;De Smedt;6,9;Blond
Abdijbier Affligem foncée ;De Smedt;6,9;Donker
Abdijbier Affligem trippel ;De Smedt;9,6;Amber
Abdijbier Sint-Idesbald brune ;Amberd;6,25;Bruin
Abdijbier Sint-Idesbald pale ;Amberd;6,25;Blond
Abdijbier Sint-Idesbald trippel ;Amberd;8;Bruin
Adler ;Haacht;6,7;Goudgeel
Aerts 1900 ;Palm;6;Amber-roodachtig
Akila Pils ;Louwaege;5;Blond
Anglo pils ;Alken-Maes;5;Blond
Antiek ;Isebaert;7,75;Amber
Arabier ;De Dolle Brouwers;8;Blond foncé
Artevelde ;Huyghe;6,5;Amber
Augustijn ;Bios;8;Amber
Bacchus ;Van Honsebrouck;5,2;Donkerbruin
Barbar winter bock ;Lefebvre;8;Bruin
Bass-Old Barley Stout ;Piedboeuf;5,4;Donker
Bass-Pale Ale ;Piedboeuf;5,2;Goudgeel
Bergenbier ;Dendria;5,1;Blond
Bière Darbyste ;Brasserie de Blaugies;5,8;Witbier
Biere de l'Abbaye d'Aulne 10° ;De Smedt;10;Donker
Bière de l'Abbaye d'Aulne 6° ;De Smedt;6;Goudgeel
Biere de l'Abbaye d'Aulne 8° ;De Smedt;8;Donker
Binchoise Bière des ours ;La Binchoise;8,4;Blond
Binchoise Blonde Tradition ;La Binchoise;6,2;Witbier
Binchoise Brune Tradition ;La Binchoise;8,2;Bruin
Binchoise Flora ;La Binchoise;7;Amber
Binchoise Rose des Remparts ;La Binchoise;4,5;Rood
Binchoise Spéciale Noël ;La Binchoise;9;Amber
Bios Vlaamse Bourgogne ;Bios;5,75;Donker
Biss ;Brasserie a Vapeur;7,5;Bruin
Blanche de Charleroi ;Val de Sambre;5;Witbier
Block Export ;De Block-Joostens;5;Blond
Block Pils ;De Block-Joostens;5;Blond
Blond ;De Biertoren;1;Bruin
Blonde Alken ;Alken-Maes;1,4;Blond
Bocholter Kwikpils Premiumbier ;Martens;5;Blond
Bocholter pils ;Martens;5;Blond
Bock pils ;Palm;4,8;Bruin
Bockor export ;Bockor (Vanderghinste);5;Blond
Bockor pils ;Bockor (Vanderghinste);5,4;Blond
Bokkereyer ;Sint-Jozef;6;Donkerbruin
Bornem Dubbel ;Bios;8;Donker
Bornem Trippel ;Bios;9;Helder
Boskeun ;De Dolle Brouwers;8;Amber
Bourgogne des Flandres ;Timmermans;5;Bruin
Bourgogne des Flandres ;Verhaeghe;6,2;Donker
Brigand ;Van Honsebrouck;9;Amber
Brug-ale Belge ;Brasserie de Silly;4,8;Amber
Brugs tarwebier ;De Gouden Boom;5,4;Witbier
Brugse Zot ;De halve maan;6;Blond
Brunehaut 8 ;Allard & Groetembril;8;Bruin
Bruno ;De Biertoren;0,8;Bruin
Buffalo ;Van Den Bossche;5,1;Donker
Bush Beer ;Dubuisson;9,75;Amber
Cambrinus ;Verhaeghe;4,5;Amber
Caulier blonde ;Caulier Developpement SA;6,8;Blond
Caulier Brune ;Caulier Developpement SA;6,8;Bruin
Caulier Extra ;Caulier Developpement SA;4;Blond
Caves ;Verhaeghe;5,35;Amber
Chapeau Pêche ;De Troch;3,5;Blond
Charles Quint ;Haacht;6,3;Donker
Chimay-Bouchon Liege ;Abbaye de Scourmont;7;Amber
